Anchore Raw,Anchore Unique,Vuls Raw,Vuls Unique,Anchore to Vuls Matching,Vuls to Anchore Matching,Common Vulnerabilities,Anchore Unmatched,Vuls Unmatched,Total,Anchore Coverage,Vuls Coverage
CVE-2016-9398,CVE-2017-17558,CVE-2017-7598,CVE-2017-7598,#N/A,676,,,,,,
CVE-2016-9399,CVE-2017-17741,CVE-2017-7599,CVE-2017-7599,#N/A,677,,,,,,
CVE-2016-9401,CVE-2017-17805,CVE-2017-7600,CVE-2017-7600,#N/A,678,,,,,,
CVE-2016-9448,CVE-2017-17806,CVE-2017-7601,CVE-2017-7601,#N/A,679,,,,,,
CVE-2016-9453,CVE-2017-17807,CVE-2017-7602,CVE-2017-7602,#N/A,680,,,,,,
CVE-2016-9532,CVE-2017-17942,CVE-2017-7607,CVE-2017-7607,397,681,,,,,,
CVE-2016-9533,CVE-2017-17973,CVE-2017-7608,CVE-2017-7608,398,682,,,,,,
CVE-2016-9534,CVE-2017-18013,CVE-2017-7610,CVE-2017-7610,399,683,,,,,,
CVE-2016-9535,CVE-2017-18017,CVE-2017-7611,CVE-2017-7611,#N/A,684,,,,,,
CVE-2016-9536,CVE-2017-18079,CVE-2017-7612,CVE-2017-7612,#N/A,685,,,,,,
CVE-2016-9537,CVE-2017-18190,CVE-2017-7613,CVE-2017-7613,400,686,,,,,,
CVE-2016-9538,CVE-2017-18193,CVE-2017-7614,CVE-2017-7614,#N/A,687,,,,,,
CVE-2016-9539,CVE-2017-18203,CVE-2017-7697,CVE-2017-7697,#N/A,690,,,,,,
CVE-2016-9540,CVE-2017-18204,CVE-2017-7771,CVE-2017-7771,#N/A,691,,,,,,
CVE-2016-9557,CVE-2017-18208,CVE-2017-7772,CVE-2017-7772,#N/A,692,,,,,,
CVE-2016-9560,CVE-2017-18216,CVE-2017-7773,CVE-2017-7773,#N/A,693,,,,,,
CVE-2016-9576,CVE-2017-18221,CVE-2017-7774,CVE-2017-7774,#N/A,694,,,,,,
CVE-2016-9586,CVE-2017-18232,CVE-2017-7775,CVE-2017-7775,#N/A,695,,,,,,
CVE-2016-9586,CVE-2017-18241,CVE-2017-7776,CVE-2017-7776,#N/A,696,,,,,,
CVE-2016-9588,CVE-2017-18248,CVE-2017-7777,CVE-2017-7777,401,697,,,,,,
CVE-2016-9591,CVE-2017-18249,CVE-2017-7778,CVE-2017-7778,#N/A,698,,,,,,
CVE-2016-9600,CVE-2017-18255,CVE-2017-7865,CVE-2017-7865,#N/A,699,,,,,,
CVE-2016-9604,CVE-2017-18257,CVE-2017-7867,CVE-2017-7867,#N/A,700,,,,,,
CVE-2016-9634,CVE-2017-18270,CVE-2017-7868,CVE-2017-7868,#N/A,701,,,,,,
CVE-2016-9634,CVE-2017-2518,CVE-2017-7869,CVE-2017-7869,403,702,,,,,,
CVE-2016-9635,CVE-2017-2583,CVE-2017-7890,CVE-2017-7890,#N/A,704,,,,,,
CVE-2016-9635,CVE-2017-2584,CVE-2017-8105,CVE-2017-8105,#N/A,706,,,,,,
CVE-2016-9636,CVE-2017-2596,CVE-2017-8283,CVE-2017-8283,#N/A,708,,,,,,
CVE-2016-9636,CVE-2017-2618,CVE-2017-8287,CVE-2017-8287,#N/A,709,,,,,,
CVE-2016-9644,CVE-2017-2625,CVE-2017-8419,CVE-2017-8419,405,710,,,,,,
CVE-2016-9675,CVE-2017-2626,CVE-2017-8804,CVE-2017-8804,406,712,,,,,,
CVE-2016-9754,CVE-2017-2636,CVE-2017-8817,CVE-2017-8817,#N/A,713,,,,,,
CVE-2016-9807,CVE-2017-2647,CVE-2017-8872,CVE-2017-8872,#N/A,716,,,,,,
CVE-2016-9807,CVE-2017-2671,CVE-2017-9038,CVE-2017-9038,#N/A,720,,,,,,
CVE-2016-9808,CVE-2017-2862,CVE-2017-9039,CVE-2017-9039,407,721,,,,,,
CVE-2016-9808,CVE-2017-2870,CVE-2017-9040,CVE-2017-9040,408,722,,,,,,
CVE-2016-9810,CVE-2017-2885,CVE-2017-9041,CVE-2017-9041,409,723,,,,,,
CVE-2016-9810,CVE-2017-3144,CVE-2017-9043,CVE-2017-9043,410,724,,,,,,
CVE-2016-9811,CVE-2017-3238,CVE-2017-9044,CVE-2017-9044,411,725,,,,,,
CVE-2016-9811,CVE-2017-3243,CVE-2017-9047,CVE-2017-9047,412,726,,,,,,
CVE-2016-9811,CVE-2017-3244,CVE-2017-9048,CVE-2017-9048,413,727,,,,,,
CVE-2016-9840,CVE-2017-3258,CVE-2017-9049,CVE-2017-9049,414,728,,,,,,
CVE-2016-9840,CVE-2017-3265,CVE-2017-9050,CVE-2017-9050,415,729,,,,,,
CVE-2016-9841,CVE-2017-3291,CVE-2017-9051,CVE-2017-9051,416,730,,,,,,
CVE-2016-9841,CVE-2017-3302,CVE-2017-9117,CVE-2017-9117,417,736,,,,,,
CVE-2016-9842,CVE-2017-3305,CVE-2017-9233,CVE-2017-9233,418,737,,,,,,
CVE-2016-9842,CVE-2017-3308,CVE-2017-9287,CVE-2017-9287,419,739,,,,,,
CVE-2016-9843,CVE-2017-3309,CVE-2017-9403,CVE-2017-9403,420,740,,,,,,
CVE-2016-9843,CVE-2017-3312,CVE-2017-9404,CVE-2017-9404,421,741,,,,,,
CVE-2016-9844,CVE-2017-3313,CVE-2017-9410,CVE-2017-9410,422,742,,,,,,
CVE-2016-9933,CVE-2017-3317,CVE-2017-9411,CVE-2017-9411,423,743,,,,,,
CVE-2017-0537,CVE-2017-3318,CVE-2017-9412,CVE-2017-9412,424,744,,,,,,
CVE-2017-0605,CVE-2017-3329,CVE-2017-9525,CVE-2017-9525,425,745,,,,,,
CVE-2017-0627,CVE-2017-3453,CVE-2017-9742,CVE-2017-9742,426,748,,,,,,
CVE-2017-0663,CVE-2017-3456,CVE-2017-9744,CVE-2017-9744,427,749,,,,,,
CVE-2017-0750,CVE-2017-3461,CVE-2017-9745,CVE-2017-9745,428,750,,,,,,
