[Nov 28 23:43:54] DEBUG [dreamy_nightingale@172-17-0-1] Executing... rpm -qa --queryformat "%{NAME} %{EPOCHNUM} %{VERSION} %{RELEASE} %{ARCH}"
[Nov 28 23:44:01] DEBUG [dreamy_nightingale@172-17-0-1] execResult: servername: dreamy_nightingale@172-17-0-1
  cmd: /usr/bin/ssh -tt -o StrictHostKeyChecking=yes -o LogLevel=quiet -o ConnectionAttempts=3 -o ConnectTimeout=10 -o ControlMaster=auto -o ControlPath=/root/.vuls/controlmaster-%r-172-17-0-1.%p -o Controlpersist=10m cmcarthur@172.17.0.1 -p 22 stty cols 1000; docker exec --user 0 ab1d17c4a270 /bin/sh -c 'rpm -qa --queryformat "%{NAME} %{EPOCHNUM} %{VERSION} %{RELEASE} %{ARCH}
"'

dreamy_nightingale@172-17-0-1 (centos7.4.1708) on 172-17-0-1
============================================================
Total: 344 (High:29 Medium:121 Low:193 ?:1), 18/344 Fixed, 171 installed, 82 updatable, 18 cves with exploit

+------------------+------+----------+---------+---------------------------------------------------+---------+
|      CVE-ID      | CVSS |  ATTACK  |  FIXED  |                        NVD                        | EXPLOIT |
| CVE-2017-1000254 |  3.7 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-1000254 | false   |
| CVE-2017-7244    |  3.7 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7244    | false   |
| CVE-2017-7245    |  3.7 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7245    | false   |
| CVE-2017-7246    |  3.7 |  Network | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7246    | false   |
| CVE-2014-3477    |  3.6 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-3477    | false   |
| CVE-2016-7091    |  3.6 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-7091    | false   |
| CVE-2017-10989   |  3.6 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-10989   | false   |
| CVE-2018-1000030 |  3.6 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000030 | false   |
| CVE-2013-4392    |  3.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2013-4392    | false   |
| CVE-2016-10228   |  3.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-10228   | false   |
| CVE-2016-6131    |  3.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-6131    | false   |
| CVE-2017-10790   |  3.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-10790   | false   |
| CVE-2017-11112   |  3.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11112   | false   |
| CVE-2017-11113   |  3.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11113   | false   |
| CVE-2017-11164   |  3.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11164   | false   |
| CVE-2017-12449   |  3.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12449   | false   |
| CVE-2017-12451   |  3.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12451   | false   |
| CVE-2017-12452   |  3.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12452   | false   |
| CVE-2017-12453   |  3.3 |    Local | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12453   | false   |
