Anchore Raw,Anchore Unique,Vuls Raw,Vuls Unique,Anchore to Vuls Matching,Vuls to Anchore Matching,Common Vulnerabilities,Anchore Unmatched,Vuls Unmatched,Total,Anchore Coverage,Vuls Coverage
CVE-2015-5479,CVE-2016-5011,CVE-2016-7076,CVE-2016-7076,118,150,,,,,,
CVE-2015-5479,CVE-2016-5102,CVE-2016-7098,CVE-2016-7098,119,151,,,,,,
CVE-2015-5479,CVE-2016-5139,CVE-2016-7099,CVE-2016-7099,120,#N/A,,,,,,
CVE-2015-5479,CVE-2016-5158,CVE-2016-7163,CVE-2016-7163,121,152,,,,,,
CVE-2015-5602,CVE-2016-5159,CVE-2016-7393,CVE-2016-7393,122,153,,,,,,
CVE-2015-6761,CVE-2016-5318,CVE-2016-7424,CVE-2016-7424,123,154,,,,,,
CVE-2015-6761,CVE-2016-5319,CVE-2016-7426,CVE-2016-7426,124,#N/A,,,,,,
CVE-2015-6761,CVE-2016-5325,CVE-2016-7427,CVE-2016-7427,#N/A,#N/A,,,,,,
CVE-2015-6761,CVE-2016-5407,CVE-2016-7428,CVE-2016-7428,125,#N/A,,,,,,
CVE-2015-6820,CVE-2016-5863,CVE-2016-7429,CVE-2016-7429,#N/A,#N/A,,,,,,
CVE-2015-6820,CVE-2016-6185,CVE-2016-7543,CVE-2016-7543,127,157,,,,,,
CVE-2015-6820,CVE-2016-6197,CVE-2016-7942,CVE-2016-7942,#N/A,159,,,,,,
CVE-2015-6820,CVE-2016-6198,CVE-2016-7943,CVE-2016-7943,#N/A,160,,,,,,
CVE-2015-7313,CVE-2016-6323,CVE-2016-7944,CVE-2016-7944,129,161,,,,,,
CVE-2015-7384,CVE-2016-6786,CVE-2016-7945,CVE-2016-7945,#N/A,162,,,,,,
CVE-2015-7995,CVE-2016-6787,CVE-2016-7946,CVE-2016-7946,#N/A,163,,,,,,
CVE-2015-8239,CVE-2016-6866,CVE-2016-7947,CVE-2016-7947,130,164,,,,,,
CVE-2015-8270,CVE-2016-7032,CVE-2016-7948,CVE-2016-7948,131,165,,,,,,
CVE-2015-8271,CVE-2016-7076,CVE-2016-7949,CVE-2016-7949,132,166,,,,,,
CVE-2015-8272,CVE-2016-7098,CVE-2016-7950,CVE-2016-7950,133,167,,,,,,
CVE-2015-8553,CVE-2016-7163,CVE-2016-7951,CVE-2016-7951,135,168,,,,,,
CVE-2015-8629,CVE-2016-7393,CVE-2016-7952,CVE-2016-7952,136,169,,,,,,
CVE-2015-8629,CVE-2016-7424,CVE-2016-8625,CVE-2016-8625,137,170,,,,,,
CVE-2015-8629,CVE-2016-7477,CVE-2016-8654,CVE-2016-8654,#N/A,171,,,,,,
CVE-2015-8629,CVE-2016-7499,CVE-2016-8675,CVE-2016-8675,#N/A,172,,,,,,
CVE-2015-8629,CVE-2016-7543,CVE-2016-8690,CVE-2016-8690,142,174,,,,,,
CVE-2015-8630,CVE-2016-7913,CVE-2016-8691,CVE-2016-8691,#N/A,175,,,,,,
CVE-2015-8630,CVE-2016-7942,CVE-2016-8692,CVE-2016-8692,143,176,,,,,,
CVE-2015-8630,CVE-2016-7943,CVE-2016-8693,CVE-2016-8693,144,177,,,,,,
CVE-2015-8630,CVE-2016-7944,CVE-2016-8882,CVE-2016-8882,145,178,,,,,,
CVE-2015-8630,CVE-2016-7945,CVE-2016-8883,CVE-2016-8883,146,179,,,,,,
CVE-2015-8631,CVE-2016-7946,CVE-2016-8884,CVE-2016-8884,147,180,,,,,,
CVE-2015-8631,CVE-2016-7947,CVE-2016-8885,CVE-2016-8885,148,181,,,,,,
CVE-2015-8631,CVE-2016-7948,CVE-2016-8886,CVE-2016-8886,149,182,,,,,,
CVE-2015-8631,CVE-2016-7949,CVE-2016-8887,CVE-2016-8887,150,183,,,,,,
CVE-2015-8631,CVE-2016-7950,CVE-2016-9082,CVE-2016-9082,151,184,,,,,,
CVE-2015-8839,CVE-2016-7951,CVE-2016-9310,CVE-2016-9310,152,#N/A,,,,,,
CVE-2015-8853,CVE-2016-7952,CVE-2016-9311,CVE-2016-9311,153,#N/A,,,,,,
CVE-2015-8853,CVE-2016-8625,CVE-2016-9318,CVE-2016-9318,154,185,,,,,,
CVE-2015-8853,CVE-2016-8654,CVE-2016-9387,CVE-2016-9387,155,186,,,,,,
CVE-2015-8952,CVE-2016-8675,CVE-2016-9388,CVE-2016-9388,156,187,,,,,,
CVE-2015-8970,CVE-2016-8676,CVE-2016-9389,CVE-2016-9389,#N/A,188,,,,,,
CVE-2015-8982,CVE-2016-8690,CVE-2016-9390,CVE-2016-9390,157,189,,,,,,
CVE-2015-8982,CVE-2016-8691,CVE-2016-9391,CVE-2016-9391,158,190,,,,,,
CVE-2015-8983,CVE-2016-8692,CVE-2016-9392,CVE-2016-9392,159,191,,,,,,
CVE-2015-8983,CVE-2016-8693,CVE-2016-9393,CVE-2016-9393,160,192,,,,,,
CVE-2015-8984,CVE-2016-8882,CVE-2016-9394,CVE-2016-9394,161,193,,,,,,
CVE-2015-8984,CVE-2016-8883,CVE-2016-9395,CVE-2016-9395,162,194,,,,,,
CVE-2015-8985,CVE-2016-8884,CVE-2016-9396,CVE-2016-9396,163,195,,,,,,
CVE-2015-8985,CVE-2016-8885,CVE-2016-9397,CVE-2016-9397,164,196,,,,,,
CVE-2015-8985,CVE-2016-8886,CVE-2016-9398,CVE-2016-9398,165,197,,,,,,
CVE-2015-8985,CVE-2016-8887,CVE-2016-9399,CVE-2016-9399,166,198,,,,,,
CVE-2015-8985,CVE-2016-9082,CVE-2016-9401,CVE-2016-9401,167,199,,,,,,
CVE-2015-9016,CVE-2016-9318,CVE-2016-9557,CVE-2016-9557,170,200,,,,,,
CVE-2015-9019,CVE-2016-9387,CVE-2016-9560,CVE-2016-9560,171,201,,,,,,
CVE-2015-9099,CVE-2016-9388,CVE-2016-9586,CVE-2016-9586,172,203,,,,,,
CVE-2015-9100,CVE-2016-9389,CVE-2016-9591,CVE-2016-9591,173,205,,,,,,
CVE-2015-9101,CVE-2016-9390,CVE-2016-9600,CVE-2016-9600,174,206,,,,,,
CVE-2016-0634,CVE-2016-9391,CVE-2016-9675,CVE-2016-9675,175,208,,,,,,
CVE-2016-10087,CVE-2016-9392,CVE-2016-9811,CVE-2016-9811,176,209,,,,,,
CVE-2016-10147,CVE-2016-9393,CVE-2016-9819,CVE-2016-9819,177,#N/A,,,,,,
CVE-2016-10169,CVE-2016-9394,CVE-2016-9820,CVE-2016-9820,178,#N/A,,,,,,
CVE-2016-10190,CVE-2016-9395,CVE-2016-9821,CVE-2016-9821,179,#N/A,,,,,,
CVE-2016-10190,CVE-2016-9396,CVE-2016-9822,CVE-2016-9822,180,#N/A,,,,,,
CVE-2016-10190,CVE-2016-9397,CVE-2016-9840,CVE-2016-9840,181,210,,,,,,
CVE-2016-10190,CVE-2016-9398,CVE-2016-9841,CVE-2016-9841,182,211,,,,,,
CVE-2016-10192,CVE-2016-9399,CVE-2016-9842,CVE-2016-9842,183,212,,,,,,
CVE-2016-10192,CVE-2016-9401,CVE-2016-9843,CVE-2016-9843,184,213,,,,,,
CVE-2016-10192,CVE-2016-9557,CVE-2016-9909,CVE-2016-9909,185,214,,,,,,
CVE-2016-10192,CVE-2016-9560,CVE-2016-9910,CVE-2016-9910,186,215,,,,,,
CVE-2016-10198,CVE-2016-9576,CVE-2017-0663,CVE-2017-0663,#N/A,218,,,,,,
CVE-2016-10198,CVE-2016-9586,CVE-2017-1000050,CVE-2017-1000050,187,#N/A,,,,,,
CVE-2016-10199,CVE-2016-9588,CVE-2017-1000100,CVE-2017-1000100,#N/A,222,,,,,,
CVE-2016-10199,CVE-2016-9591,CVE-2017-1000101,CVE-2017-1000101,188,223,,,,,,
CVE-2016-10208,CVE-2016-9600,CVE-2017-1000158,CVE-2017-1000158,189,224,,,,,,
CVE-2016-10228,CVE-2016-9644,CVE-2017-1000254,CVE-2017-1000254,#N/A,225,,,,,,
CVE-2016-10228,CVE-2016-9675,CVE-2017-1000257,CVE-2017-1000257,190,226,,,,,,
CVE-2016-10228,CVE-2016-9811,CVE-2017-1000366,CVE-2017-1000366,191,227,,,,,,
CVE-2016-10228,CVE-2016-9840,CVE-2017-1000367,CVE-2017-1000367,196,228,,,,,,
CVE-2016-10228,CVE-2016-9841,CVE-2017-1000376,CVE-2017-1000376,197,229,,,,,,
CVE-2016-10244,CVE-2016-9842,CVE-2017-1000382,CVE-2017-1000382,198,230,,,,,,
CVE-2016-10248,CVE-2016-9843,CVE-2017-1000408,CVE-2017-1000408,199,232,,,,,,
CVE-2016-10249,CVE-2016-9909,CVE-2017-1000409,CVE-2017-1000409,200,233,,,,,,
CVE-2016-10251,CVE-2016-9910,CVE-2017-1000422,CVE-2017-1000422,201,234,,,,,,
CVE-2016-10254,CVE-2017-0537,CVE-2017-10140,CVE-2017-10140,#N/A,235,,,,,,
CVE-2016-10255,CVE-2017-0627,CVE-2017-10268,CVE-2017-10268,#N/A,236,,,,,,
CVE-2016-10266,CVE-2017-0663,CVE-2017-10378,CVE-2017-10378,202,237,,,,,,
CVE-2016-10267,CVE-2017-0750,CVE-2017-10379,CVE-2017-10379,#N/A,238,,,,,,
CVE-2016-10268,CVE-2017-0861,CVE-2017-10384,CVE-2017-10384,#N/A,239,,,,,,
CVE-2016-10269,CVE-2017-1000048,CVE-2017-10684,CVE-2017-10684,#N/A,240,,,,,,
CVE-2016-10328,CVE-2017-1000100,CVE-2017-10685,CVE-2017-10685,204,241,,,,,,
CVE-2016-10371,CVE-2017-1000101,CVE-2017-10688,CVE-2017-10688,205,242,,,,,,
CVE-2016-10713,CVE-2017-1000158,CVE-2017-10790,CVE-2017-10790,206,243,,,,,,
CVE-2016-1234,CVE-2017-1000254,CVE-2017-10989,CVE-2017-10989,207,244,,,,,,
CVE-2016-1234,CVE-2017-1000257,CVE-2017-11103,CVE-2017-11103,208,246,,,,,,
CVE-2016-1683,CVE-2017-1000366,CVE-2017-11109,CVE-2017-11109,209,247,,,,,,
CVE-2016-1684,CVE-2017-1000367,CVE-2017-11112,CVE-2017-11112,210,248,,,,,,
CVE-2016-1841,CVE-2017-1000376,CVE-2017-11113,CVE-2017-11113,211,249,,,,,,
CVE-2016-1867,CVE-2017-1000382,CVE-2017-11333,CVE-2017-11333,212,250,,,,,,
CVE-2016-2089,CVE-2017-1000407,CVE-2017-11335,CVE-2017-11335,#N/A,251,,,,,,
CVE-2016-2090,CVE-2017-1000408,CVE-2017-11368,CVE-2017-11368,213,252,,,,,,
CVE-2016-2147,CVE-2017-1000409,CVE-2017-11462,CVE-2017-11462,214,253,,,,,,
CVE-2016-2148,CVE-2017-1000422,CVE-2017-11499,CVE-2017-11499,215,256,,,,,,
CVE-2016-2226,CVE-2017-10140,CVE-2017-11613,CVE-2017-11613,216,257,,,,,,
CVE-2016-2774,CVE-2017-10268,CVE-2017-11720,CVE-2017-11720,217,258,,,,,,
CVE-2016-2774,CVE-2017-10378,CVE-2017-12132,CVE-2017-12132,218,259,,,,,,
CVE-2016-2781,CVE-2017-10379,CVE-2017-12133,CVE-2017-12133,219,260,,,,,,
CVE-2016-3119,CVE-2017-10384,CVE-2017-12424,CVE-2017-12424,220,267,,,,,,
CVE-2016-3119,CVE-2017-10684,CVE-2017-12448,CVE-2017-12448,221,268,,,,,,
CVE-2016-3119,CVE-2017-10685,CVE-2017-12449,CVE-2017-12449,222,269,,,,,,
CVE-2016-3119,CVE-2017-10688,CVE-2017-12450,CVE-2017-12450,223,270,,,,,,
CVE-2016-3119,CVE-2017-10790,CVE-2017-12452,CVE-2017-12452,224,271,,,,,,
CVE-2016-3120,CVE-2017-10989,CVE-2017-12453,CVE-2017-12453,225,272,,,,,,
CVE-2016-3120,CVE-2017-11089,CVE-2017-12454,CVE-2017-12454,#N/A,273,,,,,,
CVE-2016-3120,CVE-2017-11103,CVE-2017-12455,CVE-2017-12455,226,274,,,,,,
