2018-11-21 07:00:04+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/process_analyzer_job()] [INFO] image dequeued for analysis: admin : sha256:095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb
2018-11-21 07:00:04+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/perform_analyze_nodocker()] [INFO] performing analysis on image: ['admin', 'docker.io/mcin/docker-fsl@sha256:095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb', 'docker.io/mcin/docker-fsl:latest']
2018-11-21 07:18:44+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/perform_analyze_nodocker()] [INFO] performing analysis on image complete: docker.io/mcin/docker-fsl@sha256:095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb
2018-11-21 07:18:59+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/process_analyzer_job()] [INFO] Loading image into policy engine: admin 095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb
2018-11-21 07:19:53+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/process_analyzer_job()] [INFO] analysis complete: admin : sha256:095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb

anchore-cli image vuln mcin/docker-fsl all
Vulnerability ID        Package                                       Severity        Fix                        Vulnerability URL
RHSA-2017:2016          curl-7.29.0-25.el7.centos                     Medium          0:7.29.0-42.el7            https://access.redhat.com/errata/RHSA-2017:2016
RHSA-2017:2016          libcurl-7.29.0-25.el7.centos                  Medium          0:7.29.0-42.el7            https://access.redhat.com/errata/RHSA-2017:2016
RHSA-2017:3263          curl-7.29.0-25.el7.centos                     Medium          0:7.29.0-42.el7_4.1        https://access.redhat.com/errata/RHSA-2017:3263
RHSA-2017:3263          libcurl-7.29.0-25.el7.centos                  Medium          0:7.29.0-42.el7_4.1        https://access.redhat.com/errata/RHSA-2017:3263
RHSA-2018:0260          systemd-219-19.el7_2.9                        Medium          0:219-42.el7_4.7           https://access.redhat.com/errata/RHSA-2018:0260
RHSA-2018:0260          systemd-libs-219-19.el7_2.9                   Medium          0:219-42.el7_4.7           https://access.redhat.com/errata/RHSA-2018:0260
RHSA-2018:0666          krb5-libs-1.13.2-12.el7_2                     Medium          0:1.15.1-18.el7            https://access.redhat.com/errata/RHSA-2018:0666
RHSA-2018:0805          glibc-2.17-106.el7_2.6                        Medium          0:2.17-222.el7             https://access.redhat.com/errata/RHSA-2018:0805
RHSA-2018:0805          glibc-common-2.17-106.el7_2.6                 Medium          0:2.17-222.el7             https://access.redhat.com/errata/RHSA-2018:0805
RHSA-2018:0998          openssl-libs-1.0.1e-51.el7_2.5                Medium          1:1.0.2k-12.el7            https://access.redhat.com/errata/RHSA-2018:0998
RHSA-2018:2123          python-2.7.5-34.el7                           Medium          0:2.7.5-69.el7_5           https://access.redhat.com/errata/RHSA-2018:2123
RHSA-2018:2123          python-libs-2.7.5-34.el7                      Medium          0:2.7.5-69.el7_5           https://access.redhat.com/errata/RHSA-2018:2123
RHSA-2018:2768          nss-3.21.0-9.el7_2                            Medium          0:3.36.0-7.el7_5           https://access.redhat.com/errata/RHSA-2018:2768
RHSA-2018:2768          nss-sysinit-3.21.0-9.el7_2                    Medium          0:3.36.0-7.el7_5           https://access.redhat.com/errata/RHSA-2018:2768
RHSA-2018:2768          nss-tools-3.21.0-9.el7_2                      Medium          0:3.36.0-7.el7_5           https://access.redhat.com/errata/RHSA-2018:2768
RHSA-2018:3041          python-2.7.5-34.el7                           Medium          0:2.7.5-76.el7             https://access.redhat.com/errata/RHSA-2018:3041
RHSA-2018:3041          python-libs-2.7.5-34.el7                      Medium          0:2.7.5-76.el7             https://access.redhat.com/errata/RHSA-2018:3041
RHSA-2018:3092          glibc-2.17-106.el7_2.6                        Medium          0:2.17-260.el7             https://access.redhat.com/errata/RHSA-2018:3092
RHSA-2018:3092          glibc-common-2.17-106.el7_2.6                 Medium          0:2.17-260.el7             https://access.redhat.com/errata/RHSA-2018:3092
RHSA-2018:3140          glib2-2.42.2-5.el7                            Medium          0:2.56.1-2.el7             https://access.redhat.com/errata/RHSA-2018:3140
RHSA-2018:3140          gobject-introspection-1.42.0-1.el7            Medium          0:1.56.1-1.el7             https://access.redhat.com/errata/RHSA-2018:3140
RHSA-2018:3157          curl-7.29.0-25.el7.centos                     Medium          0:7.29.0-51.el7            https://access.redhat.com/errata/RHSA-2018:3157
RHSA-2018:3157          libcurl-7.29.0-25.el7.centos                  Medium          0:7.29.0-51.el7            https://access.redhat.com/errata/RHSA-2018:3157
RHSA-2018:3221          openssl-libs-1.0.1e-51.el7_2.5                Medium          1:1.0.2k-16.el7            https://access.redhat.com/errata/RHSA-2018:3221
