Package, version,Depends
libfreetype6-dev,       2.5.2-1ubuntu2.5,       "libfreetype6 (= 2.5.2-1ubuntu2.5), libc6-dev | libc-dev, zlib1g-dev | libz-dev, libpng-dev"
libfribidi0,    0.19.6-1,       "libc6 (>= 2.4)"
libgcc-4.8-dev, 4.8.4-2ubuntu1~14.04.3, "gcc-4.8-base (= 4.8.4-2ubuntu1~14.04.3), libgcc1 (>= 1:4.8.4-2ubuntu1~14.04.3), libgomp1 (>= 4.8.4-2ubuntu1~14.04.3), libitm1 (>= 4.8.4-2ubuntu1~14.04.3), libatomic1 (>= 4.8.4-2ubuntu1~14.04.3), libasan0 (>= 4.8.4-2ubuntu1~14.04.3), libtsan0 (>= 4.8.4-2ubuntu1~14.04.3), libquadmath0 (>= 4.8.4-2ubuntu1~14.04.3)"
libgcc1,        1:4.9.3-0ubuntu4,       "gcc-4.9-base (= 4.9.3-0ubuntu4), libc6 (>= 2.14)"
libgcrypt11,    1.5.3-2ubuntu4.4,       "libc6 (>= 2.15), libgpg-error0 (>= 1.10)"
libgd3, 2.1.0-3ubuntu0.5,       "libc6 (>= 2.14), libfontconfig1 (>= 2.9.0), libfreetype6 (>= 2.2.1), libjpeg8 (>= 8c), libpng12-0 (>= 1.2.13-4), libtiff5 (>= 4.0.3), libvpx1 (>= 1.0.0), libxpm4, zlib1g (>= 1:1.1.4)"
libgdbm3,       1.8.3-12build1, "libc6 (>= 2.14), dpkg (>= 1.15.4) | install-info"
libgdchart-gd2-noxpm,   0.11.5-7.1ubuntu1,      "libc6 (>= 2.14), libgd3 (>= 2.1.0~alpha~)"
libgdk-pixbuf2.0-0,     2.30.7-0ubuntu1.6,      "libc6 (>= 2.14), libglib2.0-0 (>= 2.37.6), libjasper1, libjpeg8 (>= 8c), libpng12-0 (>= 1.2.13-4), libtiff5 (>= 4.0.3), libx11-6, libgdk-pixbuf2.0-common (= 2.30.7-0ubuntu1.6)"
libgdk-pixbuf2.0-common,        2.30.7-0ubuntu1.6,      ""
